title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites
Neon Genesis Evangelion,204,8.34,46,1662661,TV,26,Finished Airing,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']",ADV Films,Gainax,Original,"['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,97462

Code Geass: Hangyaku no Lelouch R2,20,8.91,47,1654808,TV,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']",Funimation,Sunrise,Original,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),73308

Fairy Tail,1461,7.58,48,1649916,TV,175,Finished Airing,"Oct 12, 2009 to Mar 30, 2013",Fall 2009,"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production', 'Sakura Create']",Funimation,Satelight,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,44938

Death Parade,389,8.16,49,1643695,TV,12,Finished Airing,"Jan 10, 2015 to Mar 28, 2015",Winter 2015,"['VAP', 'DAX Production', 'Nippon Television Network']",Funimation,Madhouse,Original,"['Drama', 'Supernatural', 'Suspense']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),26927

Kill la Kill,529,8.04,50,1622907,TV,24,Finished Airing,"Oct 4, 2013 to Mar 28, 2014",Fall 2013,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment']",Aniplex of America,Trigger,Original,"['Action', 'Comedy', 'Ecchi']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,36258

