title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites
Ore Monogatari!!,713,7.91,292,627880,TV,24,Finished Airing,"Apr 9, 2015 to Sep 24, 2015",Spring 2015,"['VAP', 'Nippon Television Network', 'Shueisha']",Sentai Filmworks,Madhouse,Manga,"['Comedy', 'Romance']",nan,Shoujo,22 min. per ep.,PG-13 - Teens 13 or older,4779

Akagami no Shirayuki-hime,998,7.76,293,626679,TV,12,Finished Airing,"Jul 7, 2015 to Sep 22, 2015",Summer 2015,"['Hakusensha', 'Warner Bros. Japan', 'KlockWorx', 'Showgate']",Funimation,Bones,Manga,"['Drama', 'Fantasy', 'Romance']",nan,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,7051

Gakusen Toshi Asterisk,4836,6.83,294,626363,TV,12,Finished Airing,"Oct 3, 2015 to Dec 19, 2015",Fall 2015,"['Aniplex', 'Animax', 'Movic', 'DAX Production', 'flying DOG', 'Bandai Namco Entertainment', 'Asahi Broadcasting']",Aniplex of America,A-1 Pictures,novel,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Ecchi']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,2158

Jujutsu Kaisen 0 Movie,131,8.49,295,624999,Movie,1,Finished Airing,"Dec 24, 2021",nan,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'Sumzap', 'Studio Easter']",Crunchyroll,MAPPA,Manga,"['Action', 'Fantasy']",School,Shounen,1 hr. 44 min.,R - 17+ (violence & profanity),8245

Barakamon,183,8.38,296,624734,TV,12,Finished Airing,"Jul 6, 2014 to Sep 28, 2014",Summer 2014,"['VAP', 'Nippon Television Network']",Funimation,Kinema Citrus,manga,[],nan,nan,22 min. per ep.,PG-13 - Teens 13 or older,12383

Arifureta Shokugyou de Sekai Saikyou,5567,6.69,297,624542,TV,13,Finished Airing,"Jul 8, 2019 to Oct 7, 2019",Summer 2019,"['AT-X', 'Sony Music Communications', 'Bushiroad', 'Toranoana', 'Hakuhodo DY Music & Pictures', 'Overlap', 'FuRyu', 'Bandai Namco Arts']",Funimation,asread.,novel,"['Action', 'Adventure', 'Fantasy']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,5974

Amagi Brilliant Park,1828,7.47,298,622495,TV,13,Finished Airing,"Oct 7, 2014 to Dec 26, 2014",Fall 2014,"['Avex Entertainment', 'TBS', 'DAX Production', 'flying DOG', 'Mobcast']",Sentai Filmworks,Kyoto Animation,novel,"['Comedy', 'Fantasy']",Workplace,nan,24 min. per ep.,PG-13 - Teens 13 or older,2533

Blend S,2637,7.28,299,621638,TV,12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",Fall 2017,"['Aniplex', 'Houbunsha', 'Kansai Telecasting', 'Lawson', 'Contents Seed', 'Kinoshita Group Holdings', 'Drecom']",Aniplex of America,A-1 Pictures,manga,[],nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,2893

Perfect Blue,108,8.53,300,621027,Movie,1,Finished Airing,"Feb 28, 1998",nan,"['Rex Entertainment', 'ONIRO']",GKIDS,Madhouse,Novel,"['Avant Garde', 'Drama', 'Horror']",nan,nan,1 hr. 21 min.,R+ - Mild Nudity,16772

Saenai Heroine no Sodatekata,1770,7.49,301,620592,TV,12,Finished Airing,"Jan 16, 2015 to Mar 27, 2015",Winter 2015,"['Aniplex', 'Dentsu', 'Fuji TV', 'Half H.P Studio', 'Cospa', 'Fujipacific Music', 'Good Smile Company', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Fujimi Shobo']",Aniplex of America,A-1 Pictures,novel,"['Comedy', 'Romance', 'Ecchi']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,4157

Psycho-Pass 2,2109,7.40,302,620016,TV,11,Finished Airing,"Oct 10, 2014 to Dec 19, 2014",Fall 2014,"['Production I.G', 'Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings']",Funimation,Tatsunoko Production,Original,"['Action', 'Sci-Fi', 'Suspense']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),1443

Lucky Star,1050,7.74,303,619729,TV,24,Finished Airing,"Apr 8, 2007 to Sep 17, 2007",Spring 2007,"['Lantis', 'Rakuonsha', 'Lucky Paradise']",Funimation,Kyoto Animation,manga,[],nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,11564

Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,4059,7.00,304,619318,TV,12,Finished Airing,"Jul 9, 2013 to Sep 24, 2013",Summer 2013,"['TV Tokyo', 'Media Factory', 'MediaNet', 'AT-X', 'DAX Production', 'Sony Music Communications', 'Bushiroad', 'Good Smile Company', 'NichiNare']",Sentai Filmworks,SILVER LINK.,manga,[],nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,5252

Suki tte Ii na yo.,2036,7.42,305,619301,TV,13,Finished Airing,"Oct 7, 2012 to Dec 30, 2012",Fall 2012,"['Starchild Records', 'Kodansha', 'Magic Capsule', 'Yomiuri Advertising', 'GANSIS']",Sentai Filmworks,Zexcs,Manga,"['Drama', 'Romance']",School,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,4691

Hotaru no Haka,122,8.51,306,616443,Movie,1,Finished Airing,"Apr 16, 1988",nan,['add some'],ADV Films,Studio Ghibli,Novel,[],Historical,nan,1 hr. 28 min.,PG-13 - Teens 13 or older,7316

Strike the Blood,3836,7.05,307,613236,TV,24,Finished Airing,"Oct 4, 2013 to Mar 28, 2014",Fall 2013,"['Movic', 'AT-X', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'Showgate']",Discotek Media,SILVER LINK.,novel,"['Action', 'Fantasy', 'Supernatural', 'Ecchi']",nan,nan,24 min. per ep.,R+ - Mild Nudity,2205

Gamers!,5122,6.77,308,612953,TV,12,Finished Airing,"Jul 13, 2017 to Sep 28, 2017",Summer 2017,"['Sony Pictures Entertainment', 'Frontier Works', 'Sotsu', 'Kadokawa Shoten', 'AT-X', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'i0+', 'Chugai Mining', 'BS11']",Funimation,Pine Jam,novel,"['Comedy', 'Romance']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,2085

Satsuriku no Tenshi,4222,6.96,309,612316,TV,16,Finished Airing,"Jul 6, 2018 to Oct 26, 2018",Summer 2018,"['Lantis', 'AT-X', 'Kadokawa']",Funimation,J.C.Staff,Game,"['Adventure', 'Horror', 'Suspense']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),5193

IS: Infinite Stratos,5848,6.64,310,611631,TV,12,Finished Airing,"Jan 7, 2011 to Apr 1, 2011",Winter 2011,"['Lantis', 'Media Factory', 'TBS', 'Sony Music Communications', 'Sakura Create']",Sentai Filmworks,8bit,novel,"['Action', 'Comedy', 'Sci-Fi', 'Ecchi']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,2234

Baka to Test to Shoukanjuu,1631,7.53,311,611517,TV,13,Finished Airing,"Jan 7, 2010 to Apr 1, 2010",Winter 2010,"['Lantis', 'Media Factory', 'Cospa', 'T.O Entertainment']",Funimation,SILVER LINK.,novel,"['Comedy', 'Romance']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,5527

Hataraku Saibou,1521,7.56,312,610287,TV,13,Finished Airing,"Jul 8, 2018 to Sep 30, 2018",Summer 2018,"['Aniplex', 'Kodansha', 'Magic Capsule']",Aniplex of America,David Production,Manga,[],nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,2210

To LOVE-Ru,4117,6.99,313,607939,TV,26,Finished Airing,"Apr 4, 2008 to Sep 26, 2008",Spring 2008,"['Geneon Universal Entertainment', 'TBS', 'Shueisha']",Sentai Filmworks,Xebec,Manga,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",nan,Shounen,24 min. per ep.,R+ - Mild Nudity,4017

Kamisama Hajimemashita,475,8.09,314,604493,TV,13,Finished Airing,"Oct 2, 2012 to Dec 25, 2012",Fall 2012,"['TV Tokyo', 'Dentsu', 'Sotsu', 'Pony Canyon', 'Hakusensha', 'DAX Production']",Funimation,TMS Entertainment,Manga,"['Comedy', 'Fantasy', 'Romance']",Mythology,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,13827

Ergo Proxy,725,7.90,315,604048,TV,23,Finished Airing,"Feb 25, 2006 to Aug 12, 2006",Winter 2006,"['Geneon Universal Entertainment', 'WOWOW', 'Sakura Create']",Funimation,Manglobe,Original,"['Mystery', 'Sci-Fi']",Psychological,nan,25 min. per ep.,R - 17+ (violence & profanity),12619

Kore wa Zombie desu ka?,2287,7.35,316,603590,TV,12,Finished Airing,"Jan 11, 2011 to Mar 30, 2011",Winter 2011,"['Kadokawa Shoten', 'AT-X', 'Kadokawa Pictures Japan', 'KlockWorx', 'flying DOG']",Funimation,Studio Deen,novel,"['Action', 'Comedy', 'Supernatural', 'Ecchi']",Harem,nan,24 min. per ep.,R - 17+ (violence & profanity),3093

Rokka no Yuusha,2681,7.28,317,602902,TV,12,Finished Airing,"Jul 5, 2015 to Sep 20, 2015",Summer 2015,['Pony Canyon'],Ponycan USA,Passione,novel,"['Action', 'Adventure', 'Fantasy', 'Mystery']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,2558

Little Witch Academia (TV),883,7.82,318,602751,TV,25,Finished Airing,"Jan 9, 2017 to Jun 26, 2017",Winter 2017,"['Ultra Super Pictures', 'TOHO animation', 'Good Smile Company']",add some,Trigger,Original,"['Adventure', 'Comedy', 'Fantasy']",School,nan,24 min. per ep.,G - All Ages,7145

Kami nomi zo Shiru Sekai,1225,7.67,319,600629,TV,12,Finished Airing,"Oct 7, 2010 to Dec 23, 2010",Fall 2010,"['TV Tokyo', 'Geneon Universal Entertainment']",Sentai Filmworks,Manglobe,Manga,"['Comedy', 'Romance', 'Supernatural']",nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,5604

Date A Live II,3131,7.19,320,600455,TV,10,Finished Airing,"Apr 12, 2014 to Jun 14, 2014",Spring 2014,"['Kadokawa Shoten', 'AT-X', 'Nippon Columbia']",Funimation,Production IMS,novel,"['Comedy', 'Romance', 'Sci-Fi']",nan,nan,28 min. per ep.,R - 17+ (violence & profanity),2158

Inuyashiki,1263,7.65,321,597898,TV,11,Finished Airing,"Oct 13, 2017 to Dec 22, 2017",Fall 2017,"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'DMM pictures']",add some,MAPPA,Manga,"['Action', 'Drama', 'Sci-Fi']",nan,Seinen,22 min. per ep.,R - 17+ (violence & profanity),3562

Nana,107,8.53,322,595806,TV,47,Finished Airing,"Apr 5, 2006 to Mar 28, 2007",Spring 2006,"['VAP', 'Nippon Television Network', 'Shueisha']",VIZ Media,Madhouse,Manga,"['Drama', 'Romance']",nan,Shoujo,23 min. per ep.,R+ - Mild Nudity,25950

Dragon Ball GT,6809,6.47,323,594417,TV,64,Finished Airing,"Feb 7, 1996 to Nov 19, 1997",Winter 1996,['Fuji TV'],Funimation,Toei Animation,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",Super Power,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,1867

Pokemon,2222,7.37,324,593895,TV,276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",Spring 1997,"['TV Tokyo', 'TV Tokyo Music', 'Studio Jack']",VIZ Media,OLM,Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",nan,Kids,24 min. per ep.,PG - Children,4965

Bakuman.,351,8.19,325,591995,TV,25,Finished Airing,"Oct 2, 2010 to Apr 2, 2011",Fall 2010,"['NHK', 'Shueisha']",Media Blasters,J.C.Staff,Manga,"['Comedy', 'Drama', 'Romance']",Otaku Culture,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,9264

Great Pretender,301,8.24,326,589172,TV,23,Finished Airing,"Jul 9, 2020 to Dec 17, 2020",Summer 2020,"['Production I.G', 'Fuji TV', 'BS Fuji', 'TOHO animation', 'Hakuhodo DY Media Partners']",add some,Wit Studio,Original,"['Action', 'Adventure', 'Mystery']",Adult Cast,nan,23 min. per ep.,R - 17+ (violence & profanity),9208

Koukaku Kidoutai,271,8.27,327,586571,Movie,1,Finished Airing,"Nov 18, 1995",nan,"['Bandai Visual', 'Kodansha']",Manga Entertainment,Production I.G,Manga,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']",nan,Seinen,1 hr. 22 min.,R+ - Mild Nudity,11915

Log Horizon 2nd Season,1430,7.58,328,584006,TV,25,Finished Airing,"Oct 4, 2014 to Mar 28, 2015",Fall 2014,['NHK'],Funimation,Studio Deen,novel,"['Action', 'Adventure', 'Fantasy']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,1386

Kenpuu Denki Berserk,99,8.55,329,583599,TV,25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,"['VAP', 'Hakusensha', 'Nippon Television Network']",Media Blasters,OLM,Manga,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",nan,Seinen,25 min. per ep.,R+ - Mild Nudity,24224

Saiki Kusuo no Psi-nan 2,157,8.43,330,583201,TV,24,Finished Airing,"Jan 17, 2018 to Jun 27, 2018",Winter 2018,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Nippon Columbia', 'KlockWorx', 'Asmik Ace', 'Bandai Namco Entertainment', 'Shueisha', ""Toy's Factory"", 'Dear Stage inc.']",add some,J.C.Staff,Manga,"['Comedy', 'Supernatural']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,3974

Sankarea,2590,7.29,331,581625,TV,12,Finished Airing,"Apr 6, 2012 to Jun 29, 2012",Spring 2012,"['Lantis', 'Pony Canyon', 'TBS', 'Kodansha', 'BS-TBS']",Funimation,Studio Deen,Manga,"['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi']",nan,Shounen,24 min. per ep.,R+ - Mild Nudity,2551

Grisaia no Kajitsu,1747,7.49,332,580948,TV,13,Finished Airing,"Oct 5, 2014 to Dec 28, 2014",Fall 2014,"['Frontier Works', 'AT-X', 'Bushiroad', 'NBCUniversal Entertainment Japan', 'Front Wing']",Sentai Filmworks,8bit,novel,"['Drama', 'Romance']",nan,nan,23 min. per ep.,R+ - Mild Nudity,4266

Suzumiya Haruhi no Shoushitsu,81,8.61,333,579634,Movie,1,Finished Airing,"Feb 6, 2010",nan,"['Kadokawa Shoten', 'Animation Do']",Funimation,Kyoto Animation,novel,"['Award Winning', 'Mystery', 'Sci-Fi', 'Supernatural']",School,nan,2 hr. 41 min.,PG-13 - Teens 13 or older,13008

Toaru Kagaku no Railgun,1211,7.67,334,578240,TV,24,Finished Airing,"Oct 3, 2009 to Mar 20, 2010",Fall 2009,"['Geneon Universal Entertainment', 'Movic', 'AT-X', 'ASCII Media Works']",Funimation,J.C.Staff,Manga,"['Action', 'Sci-Fi']",Super Power,nan,24 min. per ep.,PG-13 - Teens 13 or older,5741

Vampire Knight,4566,6.89,335,577356,TV,13,Finished Airing,"Apr 8, 2008 to Jul 1, 2008",Spring 2008,"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems']",VIZ Media,Studio Deen,Manga,"['Drama', 'Mystery', 'Romance', 'Supernatural']",nan,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,7224

Nagi no Asu kara,603,7.98,336,575861,TV,26,Finished Airing,"Oct 3, 2013 to Apr 3, 2014",Fall 2013,"['Geneon Universal Entertainment', 'Sotsu', 'Animax', 'Rondo Robe', 'Showgate', 'Infinite']","NIS America, Inc.",P.A. Works,Original,"['Drama', 'Fantasy', 'Romance']",Love Polygon,nan,23 min. per ep.,PG-13 - Teens 13 or older,9331

Sword Art Online Alternative: Gun Gale Online,4098,7.00,337,575849,TV,12,Finished Airing,"Apr 8, 2018 to Jul 1, 2018",Spring 2018,"['Aniplex', 'Egg Firm']",Aniplex of America,Studio 3Hz,novel,[],nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,1438

Zetsuen no Tempest,688,7.92,339,570931,TV,24,Finished Airing,"Oct 5, 2012 to Mar 29, 2013",Fall 2012,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System', 'Yahoo! Japan']",Aniplex of America,Bones,Manga,"['Action', 'Drama', 'Fantasy', 'Mystery']",Psychological,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,6431

Shiki,1052,7.74,340,568597,TV,22,Finished Airing,"Jul 9, 2010 to Dec 31, 2010",Summer 2010,"['Aniplex', 'Dentsu', 'Fuji TV', 'DAX Production', 'Shueisha']",Funimation,Daume,Manga,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",nan,Shounen,22 min. per ep.,R - 17+ (violence & profanity),7967

Beelzebub,785,7.86,341,568086,TV,60,Finished Airing,"Jan 9, 2011 to Mar 25, 2012",Winter 2011,"['Pierrot', 'Dentsu', 'Yomiuri Telecasting', 'Shueisha']",Discotek Media,Pierrot Plus,Manga,"['Action', 'Comedy', 'Supernatural']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,5208

Shokugeki no Souma: Shin no Sara,1031,7.75,342,566374,TV,12,Finished Airing,"Oct 12, 2019 to Dec 28, 2019",Fall 2019,"['Warner Bros. Japan', 'KlockWorx', 'Shueisha', 'Bandai Namco Arts']",Sentai Filmworks,J.C.Staff,Manga,"['Gourmet', 'Ecchi']",School,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,1312

Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,1774,7.49,343,559448,TV,12,Finished Airing,"Oct 2, 2019 to Dec 27, 2019",Fall 2019,"['AT-X', 'Kadokawa Media House', 'Kadokawa', 'Legs']",Funimation,White Fox,novel,"['Action', 'Adventure', 'Comedy', 'Fantasy']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),2018

Ajin,2082,7.40,344,559074,TV,13,Finished Airing,"Jan 16, 2016 to Apr 9, 2016",Winter 2016,"['Mainichi Broadcasting System', 'Kodansha', 'KlockWorx', 'Sony Music Communications', 'TOHO animation', 'King Records']",Sentai Filmworks,Polygon Pictures,Manga,"['Action', 'Horror', 'Mystery', 'Supernatural']",Gore,Seinen,24 min. per ep.,R - 17+ (violence & profanity),3045

Steins;Gate Movie: Fuka Ryouiki no Deja vu,144,8.45,345,558997,Movie,1,Finished Airing,"Apr 20, 2013",nan,"['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'MAGES.']",Funimation,White Fox,novel,"['Drama', 'Sci-Fi']",nan,nan,1 hr. 30 min.,PG-13 - Teens 13 or older,2485

Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,1864,7.46,346,557784,TV,10,Finished Airing,"Jan 12, 2013 to Mar 16, 2013",Winter 2013,"['Kadokawa Shoten', 'Nippon Columbia', 'flying DOG']",Sentai Filmworks,Diomedea,novel,"['Action', 'Comedy', 'Fantasy']",Isekai,nan,23 min. per ep.,PG-13 - Teens 13 or older,3661

The Last: Naruto the Movie,945,7.79,347,557465,Movie,1,Finished Airing,"Dec 6, 2014",nan,"['TV Tokyo', 'Shueisha']",VIZ Media,Pierrot,Manga,"['Action', 'Adventure', 'Fantasy', 'Romance']",nan,Shounen,1 hr. 52 min.,PG-13 - Teens 13 or older,2027

Kimetsu no Yaiba: Mugen Ressha-hen,185,8.38,348,556767,TV,7,Finished Airing,"Oct 10, 2021 to Nov 28, 2021",Fall 2021,"['Aniplex', 'Shueisha']",add some,ufotable,Manga,"['Action', 'Fantasy']",Historical,Shounen,24 min. per ep.,R - 17+ (violence & profanity),3603

Hige wo Soru. Soshite Joshikousei wo Hirou.,2624,7.29,349,551396,TV,13,Finished Airing,"Apr 5, 2021 to Jun 28, 2021",Spring 2021,"['Toei Video', 'Pony Canyon', 'AT-X', 'Magic Capsule', 'KlockWorx', 'Hakuhodo DY Music & Pictures', 'BS11', 'Kadokawa', 'Yomiuri Shimbun', 'APDREAM', 'Dream Shift', 'Bergamo']",add some,Project No.9,novel,"['Drama', 'Romance']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,5914

Lovely Complex,534,8.03,350,551184,TV,24,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",Spring 2007,"['TBS', 'TAP', 'Sony Music Entertainment', 'Shueisha', 'Nichion']",Discotek Media,Toei Animation,Manga,"['Comedy', 'Romance']",School,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,9539

Kiss x Sis (TV),5935,6.62,351,551149,TV,12,Finished Airing,"Apr 5, 2010 to Jun 21, 2010",Spring 2010,"['Starchild Records', 'GANSIS']",add some,feel.,Manga,"['Comedy', 'Romance', 'Ecchi']",nan,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,1750

Hunter x Hunter,165,8.41,352,550351,TV,62,Finished Airing,"Oct 16, 1999 to Mar 31, 2001",Fall 1999,['Fuji TV'],VIZ Media,Nippon Animation,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,10204

Karakai Jouzu no Takagi-san,1128,7.71,353,550013,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,"['TMS Entertainment', 'Asatsu DK', 'Asmik Ace', 'TOHO animation', 'JR East Marketing & Communications']",Funimation,Shin-Ei Animation,Manga,[],nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,4934

Bungou Stray Dogs 3rd Season,311,8.22,354,549781,TV,12,Finished Airing,"Apr 12, 2019 to Jun 28, 2019",Spring 2019,"['WOWOW', 'Lantis', 'Movic', 'Bandai Namco Live Creative', 'Sony Music Entertainment', 'Glovision', 'Kadokawa Media House', 'Kadokawa', 'Bandai Namco Arts']",add some,Bones,Manga,"['Action', 'Mystery', 'Supernatural']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),4700

Sword Art Online: Alicization - War of Underworld 2nd Season,1821,7.47,355,549621,TV,11,Finished Airing,"Jul 12, 2020 to Sep 20, 2020",Summer 2020,"['Aniplex', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa']",Aniplex of America,A-1 Pictures,novel,"['Action', 'Adventure', 'Fantasy']",Video Game,nan,24 min. per ep.,R - 17+ (violence & profanity),3030

Gangsta.,2073,7.41,356,544248,TV,12,Finished Airing,"Jul 2, 2015 to Sep 24, 2015",Summer 2015,"['Bandai Visual', 'Frontier Works', 'Lantis', 'DAX Production', 'Tokyo MX']",Funimation,Manglobe,Manga,"['Action', 'Drama']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),3537

Higashi no Eden,1010,7.76,357,541462,TV,11,Finished Airing,"Apr 10, 2009 to Jun 19, 2009",Spring 2009,"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']",Funimation,Production I.G,Original,"['Award Winning', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),4131

Kuroshitsuji II,3350,7.15,358,538198,TV,12,Finished Airing,"Jul 2, 2010 to Sep 17, 2010",Summer 2010,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System']",Funimation,A-1 Pictures,Manga,"['Action', 'Comedy', 'Supernatural']",nan,Shounen,24 min. per ep.,R - 17+ (violence & profanity),3114

Katekyo Hitman Reborn!,416,8.14,359,536311,TV,203,Finished Airing,"Oct 7, 2006 to Sep 25, 2010",Fall 2006,"['TV Tokyo', 'Dentsu', 'Marvelous', 'Pony Canyon', 'd-rights']",VIZ Media,Artland,Manga,"['Action', 'Comedy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,15687

Katanagatari,223,8.32,360,535615,TV,12,Finished Airing,"Jan 26, 2010 to Dec 11, 2010",Winter 2010,"['Aniplex', 'Lantis', 'Kodansha', 'Movic', 'Fuji TV']","NIS America, Inc.",White Fox,novel,"['Action', 'Adventure', 'Romance']",nan,nan,50 min. per ep.,R - 17+ (violence & profanity),10578

Jibaku Shounen Hanako-kun,813,7.85,361,533001,TV,12,Finished Airing,"Jan 10, 2020 to Mar 27, 2020",Winter 2020,"['Square Enix', 'Studio Hibari', 'Pony Canyon', 'TBS', 'Half H.P Studio', 'Contents Seed']",Funimation,Lerche,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,11050

Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,1849,7.46,362,532275,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,"['Movic', 'Warner Bros. Japan', 'KlockWorx', 'Hakuhodo DY Music & Pictures', 'Egg Firm', 'FuRyu', 'GREE', 'SB Creative']",Sentai Filmworks,J.C.Staff,novel,"['Action', 'Adventure', 'Fantasy']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,1810

